"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2014,1,380,0,38,0,418
Alameda Sheriff's Dept.,Santa Rita Jail,2014,1,1963,222,611,87,2883
Amador Sheriff's Dept.,Amador County Jail,2014,1,35,10,35,13,93
Butte Sheriff's Dept.,Butte County Jail,2014,1,332,49,175,31,587
Calaveras Sheriff's Dept.,Calaveras County Jail,2014,1,32,6,29,3,70
Colusa Sheriff's Dept.,Colusa County Jail,2014,1,47,9,16,6,78
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2014,1,0,0,59,0,59
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2014,1,527,2,123,0,652
Contra Costa Sheriff's Dept.,West County Detention Facility ,2014,1,541,130,130,21,822
Del Norte Sheriff's Dept.,Del Norte County Jail,2014,1,40,6,38,11,95
El Dorado Sheriff's Dept.,El Dorado County Jail,2014,1,124,32,80,17,253
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2014,1,36,6,50,11,103
Fresno Sheriff's Dept.,Fresno County Main Jail,2014,1,775,20,256,2,1053
Fresno Sheriff's Dept.,Fresno North Annex Jail,2014,1,938,0,463,0,1401
Fresno Sheriff's Dept.,Fresno South Annex Jail,2014,1,208,145,67,71,491
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2014,1,61,12,33,5,111
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2014,1,201,33,109,19,362
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2014,1,97,9,0,0,106
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2014,1,124,15,216,34,389
Inyo Sheriff's Dept.,Inyo County Jail,2014,1,33,5,34,7,79
Kern Sheriff's Dept.,Central Receiving Facility,2014,1,119,41,22,5,187
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2014,1,303,0,80,0,383
Kern Sheriff's Dept.,Lerdo Minimum,2014,1,277,33,424,62,796
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2014,1,750,123,304,45,1222
Kings Sheriff's Dept.,Kings County Branch Jail ,2014,1,19,17,65,49,150
Kings Sheriff's Dept.,Kings County Jail Facility,2014,1,216,23,205,23,467
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2014,1,155,21,121,25,322
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2014,1,34,10,73,14,131
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2014,1,0,1180,0,985,2165
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2014,1,2749,0,1982,0,4731
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2014,1,2235,0,1717,0,3952
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2014,1,1,0,183,0,184
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2014,1,945,0,860,0,1805
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2014,1,474,0,1025,0,1499
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2014,1,2282,11,1495,355,4143
Madera Corrections Dept.,Madera Adult Correctional Fac,2014,1,335,53,47,6,441
Marin Sheriff's Dept.,Marin County Jail,2014,1,197,30,54,13,294
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2014,1,21,5,20,4,50
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2014,1,138,23,96,15,272
Merced Sheriff's Dept.,John Latorraca Correctional Center,2014,1,371,63,97,15,546
Merced Sheriff's Dept.,Merced County Jail ,2014,1,178,0,36,0,214
Modoc Sheriff's Dept.,Modoc County Jail,2014,1,12,2,12,4,30
Mono Sheriff's Dept.,Mono County Jail ,2014,1,16,4,12,5,37
Monterey Sheriff's Dept.,Monterey County Jail ,2014,1,476,92,75,39,682
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2014,1,184,0,108,0,292
Napa Corrections Dept.,Napa County Jail ,2014,1,156,23,51,12,242
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2014,1,150,40,21,11,222
Orange Sheriff's Dept.,Intake Release Center ,2014,1,262,219,84,208,773
Orange Sheriff's Dept.,James A Musick Facilities,2014,1,358,53,647,133,1191
Orange Sheriff's Dept.,Orange County Mens Jail ,2014,1,937,0,332,0,1269
Orange Sheriff's Dept.,Orange County Women's Jail,2014,1,0,181,0,172,353
Orange Sheriff's Dept.,Theo Lacy,2014,1,1669,0,1577,0,3246
Placer Sheriff's Dept.,Placer County Main Jail ,2014,1,365,49,67,12,493
Placer Sheriff's Dept.,Placer County Minimum Security ,2014,1,8,3,122,26,159
Plumas Sheriff's Dept.,Plumas County Jail ,2014,1,26,3,21,6,56
Riverside Sheriff's Dept.,Blythe Jail ,2014,1,73,0,34,0,107
Riverside Sheriff's Dept.,Indio Jail ,2014,1,264,39,51,6,360
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2014,1,866,136,405,104,1511
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2014,1,512,125,173,42,852
Riverside Sheriff's Dept.,Southwest Detention Center,2014,1,802,6,325,0,1133
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2014,1,608,12,1360,231,2211
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2014,1,1637,142,182,91,2052
San Benito Sheriff's Dept.,San Benito Adult Detention ,2014,1,81,13,25,8,127
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2014,1,691,96,142,24,953
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2014,1,255,130,675,90,1150
San Bernardino Sheriff's Dept.,San Bernardino High Desert Detention Center,2014,1,619,0,71,0,690
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2014,1,2304,286,327,69,2986
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2014,1,121,0,360,0,481
San Diego Sheriff's Dept.,George Bailey Detention Facility,2014,1,843,0,910,0,1753
San Diego Sheriff's Dept.,Las Colinas Womens Detention ,2014,1,0,426,0,402,828
San Diego Sheriff's Dept.,San Diego Central Detention ,2014,1,709,0,296,0,1005
San Diego Sheriff's Dept.,San Diego Facility #8,2014,1,83,0,189,0,272
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2014,1,295,0,205,0,500
San Diego Sheriff's Dept.,Vista Facility ,2014,1,537,4,298,1,840
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2014,1,0,0,240,81,321
San Francisco Sheriff's Dept.,San Francisco County Jail #2,2014,1,146,109,24,19,298
San Francisco Sheriff's Dept.,San Francisco County Jail #3,2014,1,0,0,0,0,0
San Francisco Sheriff's Dept.,San Francisco County Jail #4,2014,1,295,0,52,0,347
San Francisco Sheriff's Dept.,San Francisco County Jail #5,2014,1,523,0,92,0,615
San Francisco Sheriff's Dept.,San Francisco County Jail #6,2014,1,0,0,0,0,0
San Joaquin Sheriff's Dept.,John J. Zunino Facility,2014,1,737,89,171,22,1019
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,2014,1,60,10,286,46,402
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,2014,1,328,55,195,39,617
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,2014,1,1,0,73,23,97
San Mateo Sheriff's Dept.,Maguire Correctional Facility,2014,1,578,4,300,2,884
San Mateo Sheriff's Dept.,Minimum Security Transitional Fac.,2014,1,0,0,26,0,26
San Mateo Sheriff's Dept.,Womens Correctional Center ,2014,1,0,72,0,51,123
San Mateo Sheriff's Dept.,Womens Transitional Fac,2014,1,0,0,0,11,11
Santa Ana Police Dept.,Santa Ana Police Facility,2014,1,375,81,0,0,456
Santa Barbara Sheriff's Dept.,Medium Security Facility,2014,1,83,27,62,9,181
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,2014,1,523,86,141,31,781
Santa Barbara Sheriff's Dept.,Santa Maria Branch Jail,2014,1,0,0,0,0,0
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,2014,1,1339,0,718,0,2057
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,2014,1,0,351,0,164,515
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,2014,1,1197,0,180,0,1377
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,2014,1,0,4,0,15,19
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,2014,1,230,35,56,9,330
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,2014,1,45,0,44,0,89
Shasta Sheriff's Dept.,Shasta County Main Jail ,2014,1,200,37,76,12,325
Sierra Sheriff's Dept.,Sierra County Jail ,2014,1,5,1,1,3,10
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,2014,1,65,9,20,0,94
Solano Sheriff's Dept.,Claybank Facility ,2014,1,151,32,126,13,322
Solano Sheriff's Dept.,Solano County Justice Center ,2014,1,370,49,131,12,562
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,2014,1,319,68,221,93,701
Sonoma Sheriff's Dept.,Sonoma-North County Facility,2014,1,114,0,241,0,355
Stanislaus Sheriff's Dept.,Public Safety Cntr Units 1 & 2,2014,1,153,32,159,14,358
Stanislaus Sheriff's Dept.,Stanislaus Co. Public Safety Center,2014,1,366,77,41,22,506
Stanislaus Sheriff's Dept.,Stanislaus County Jail ,2014,1,303,0,53,0,356
Sutter Sheriff's Dept.,Sutter County Jail ,2014,1,173,28,24,25,250
Tehama Sheriff's Dept.,Tehama County Jail ,2014,1,92,15,68,6,181
Trinity Sheriff's Dept.,Trinity Co. Detention Facility,2014,1,24,2,22,2,50
Tulare Sheriff's Dept.,Bob Wiley Detention Facility,2014,1,368,92,163,91,714
Tulare Sheriff's Dept.,Men's Correctional Facility,2014,1,142,0,150,0,292
Tulare Sheriff's Dept.,Pre-Trial Facility,2014,1,230,14,105,33,382
Tulare Sheriff's Dept.,Tulare County Jail ,2014,1,182,0,78,0,260
Tuolumne Sheriff's Dept.,Tuolumne County Jail ,2014,1,77,22,29,10,138
Ventura Sheriff's Dept.,Todd Road Jail,2014,1,263,112,284,131,790
Ventura Sheriff's Dept.,Ventura County Main Jail ,2014,1,608,9,234,4,855
Ventura Work Furlough,Ventura County Work Furlough ,2014,1,0,0,66,9,75
Yolo Sheriff's Dept.,Leinberger Center ,2014,1,59,0,82,0,141
Yolo Sheriff's Dept.,Monroe Detention Center ,2014,1,181,39,82,14,316
Yuba Sheriff's Dept.,Yuba County Jail ,2014,1,303,42,45,11,401
Alameda Sheriff's Dept.,Glen Dyer Jail,2014,2,382,0,43,0,425
