"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2018,1,370,0,26,0,396
Alameda Sheriff's Dept.,Santa Rita Jail,2018,1,1589,177,370,49,2185
Amador Sheriff's Dept.,Amador County Jail,2018,1,30,6.74,37.58,5.94,80
Butte Sheriff's Dept.,Butte County Jail,2018,1,302,47,168,32,549
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2018,1,57,13,28,8,106
Colusa Sheriff's Dept.,Colusa County Jail,2018,1,37,6,22,9,74
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2018,1,0,0,49,0,49
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2018,1,499,11,105,6,621
Contra Costa Sheriff's Dept.,West County Detention Facility ,2018,1,395,178,111,62,746
Del Norte Sheriff's Dept.,Del Norte County Jail,2018,1,54,10,25,7,96
El Dorado Sheriff's Dept.,El Dorado County Jail,2018,1,126,25,85,26,262
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2018,1,42,6,67,13,128
Fresno Sheriff's Dept.,Fresno County Main Jail,2018,1,734,14,225,2,975
Fresno Sheriff's Dept.,Fresno North Annex Jail,2018,1,1144,0,466,0,1610
Fresno Sheriff's Dept.,Fresno South Annex Jail,2018,1,110,221,34,107,472
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2018,1,47,12,24,8,91
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2018,1,236,43,89,16,384
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2018,1,84,11,6,6,107
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2018,1,168,22,207,11,408
Inyo Sheriff's Dept.,Inyo County Jail,2018,1,24,8,23,4,59
Kern Sheriff's Dept.,Central Receiving Facility,2018,1,68,17,29,5,119
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2018,1,247,0,130,0,377
Kern Sheriff's Dept.,Lerdo Minimum,2018,1,183,35,292,57,567
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2018,1,664,122,121,28,935
Kings Sheriff's Dept.,Kings County Jail Facility,2018,1,333,70,70,23,496
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2018,1,172,26,86,27,311
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2018,1,57,12,34,6,109
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2018,1,0,1333,0,777,2110
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2018,1,2718,0,1414,0,4132
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2018,1,2399,0,1508,0,3907
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2018,1,0,0,71,0,71
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2018,1,868,0,587,0,1455
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2018,1,411,0,860,0,1271
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2018,1,2417,15,917,150,3499
Madera Corrections Dept.,Madera Adult Correctional Fac,2018,1,311,48,64,10,433
Marin Sheriff's Dept.,Marin County Jail,2018,1,235,48,51,9,343
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2018,1,21,8,16,5,50
