"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2013,1,372,2,50,0,424
Alameda Sheriff's Dept.,Santa Rita Jail,2013,1,1754,186,823,85,2848
Amador Sheriff's Dept.,Amador County Jail,2013,1,43,10,37,8,98
Butte Sheriff's Dept.,Butte County Jail,2013,1,397,47,136,17,597
Calaveras Sheriff's Dept.,Calaveras County Jail,2013,1,32,5,30,2,69
Colusa Sheriff's Dept.,Colusa County Jail,2013,1,38,5,14,3,60
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2013,1,0,0,65,0,65
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2013,1,485,3,119,0,607
Contra Costa Sheriff's Dept.,West County Detention Facility ,2013,1,510,136,130,14,790
Del Norte Sheriff's Dept.,Del Norte County Jail,2013,1,41,6,32,16,95
El Dorado Sheriff's Dept.,El Dorado County Jail,2013,1,127,16,97,27,267
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2013,1,38,9,57,10,114
Fresno Sheriff's Dept.,Fresno County Main Jail,2013,1,826,32,260,8,1126
Fresno Sheriff's Dept.,Fresno North Annex Jail,2013,1,1006,0,496,0,1502
Fresno Sheriff's Dept.,Fresno South Annex Jail,2013,1,139,126,58,116,439
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2013,1,57,8,16,8,89
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2013,1,219,35,100,15,369
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2013,1,124,11,0,0,135
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2013,1,131,14,184,21,350
Inyo Sheriff's Dept.,Inyo County Jail,2013,1,33,6,33,4,76
Kern Sheriff's Dept.,Central Receiving Facility,2013,1,127,38,18,6,189
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2013,1,382,0,0,0,382
Kern Sheriff's Dept.,Lerdo Minimum,2013,1,430,33,301,60,824
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2013,1,907,131,153,27,1218
Kings Sheriff's Dept.,Kings County Jail Facility,2013,1,233,31,184,49,497
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2013,1,148,18,116,26,308
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2013,1,45,11,65,13,134
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2013,1,0,1151,0,918,2069
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2013,1,2558,0,1699,0,4257
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2013,1,2348,0,1420,0,3768
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2013,1,859,0,617,0,1476
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2013,1,334,0,747,0,1081
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2013,1,462,0,969,0,1431
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2013,1,1979,23,1607,340,3949
Madera Corrections Dept.,Madera Adult Correctional Fac,2013,1,284,43,107,17,451
Marin Sheriff's Dept.,Marin County Jail,2013,1,176,25,54,17,272
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2013,1,19,2,16,5,42
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2013,1,141,18,84,20,263
Merced Sheriff's Dept.,John Latorraca Correctional Center,2013,1,381,52,123,27,583
Merced Sheriff's Dept.,Merced County Jail ,2013,1,172,0,21,0,193
Modoc Sheriff's Dept.,Modoc County Jail,2013,1,13,3,11,3,30
Mono Sheriff's Dept.,Mono County Jail ,2013,1,12,1,14,2,29
Monterey Sheriff's Dept.,Monterey County Jail ,2013,1,486,100,110,59,755
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2013,1,193,0,146,0,339
Napa Corrections Dept.,Napa County Jail ,2013,1,163,21,76,10,270
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2013,1,101,17,64,11,193
Orange Sheriff's Dept.,Intake Release Center ,2013,1,279,171,121,174,745
Orange Sheriff's Dept.,James A Musick Facilities,2013,1,318,37,741,160,1256
Orange Sheriff's Dept.,Orange County Mens Jail ,2013,1,794,0,430,0,1224
Orange Sheriff's Dept.,Orange County Women's Jail,2013,1,0,191,0,171,362
Orange Sheriff's Dept.,Theo Lacy,2013,1,1630,0,1537,0,3167
Placer Sheriff's Dept.,Placer County Main Jail ,2013,1,341,46,62,11,460
Placer Sheriff's Dept.,Placer County Minimum Security ,2013,1,7,4,119,25,155
Plumas Sheriff's Dept.,Plumas County Jail ,2013,1,16,6,11,2,35
Riverside Sheriff's Dept.,Blythe Jail ,2013,1,47,0,58,0,105
