"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2002,1,464,22,228,38,752
Alameda Sheriff's Dept.,Santa Rita Jail,2002,1,2064,239,609,115,3027
Amador Sheriff's Dept.,Amador County Jail,2002,1,29,3,27,5,64
Butte Sheriff's Dept.,Butte County Jail,2002,1,282,40,153,15,490
Calaveras Sheriff's Dept.,Calaveras County Jail,2002,1,32,4,27,3,66
Colusa Sheriff's Dept.,Colusa County Jail,2002,1,23,2,20,7,52
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2002,1,0,0,120,0,120
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2002,1,534,65,142,17,758
Contra Costa Sheriff's Dept.,West County Detention Facility ,2002,1,467,86,192,36,781
Del Norte Sheriff's Dept.,Del Norte County Jail,2002,1,59,10,43,7,119
El Dorado Sheriff's Dept.,El Dorado County Jail,2002,1,67,7,68,17,159
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2002,1,37,10,37,4,88
Fresno Sheriff's Dept.,Fresno County Main Jail,2002,1,687,171,74,45,977
Fresno Sheriff's Dept.,Fresno County Satellite Jail,2002,1,0,0,156,0,156
Fresno Sheriff's Dept.,Fresno North Annex Jail,2002,1,406,0,10,0,416
Fresno Sheriff's Dept.,Fresno South Annex Jail,2002,1,569,0,78,0,647
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2002,1,61,10,5,0,76
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2002,1,218,24,114,17,373
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2002,1,81,0,60,0,141
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2002,1,140,25,70,9,244
Inyo Sheriff's Dept.,Inyo County Jail,2002,1,22,5,14,3,44
Kern Sheriff's Dept.,Kern County- Female Minimum ,2002,1,0,4,0,89,93
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2002,1,95,35,30,8,168
Kern Sheriff's Dept.,Lerdo Minimum,2002,1,355,0,455,0,810
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2002,1,725,139,180,50,1094
Kings Sheriff's Dept.,Kings County Branch Jail ,2002,1,49,5,75,19,148
Kings Sheriff's Dept.,Kings County Main Jail,2002,1,36,2,109,13,160
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2002,1,97,19,60,14,190
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2002,1,45,11,52,11,119
Los Angeles Sheriff's Dept.,Biscailuz Recovery Center,2002,1,38,0,61,0,99
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2002,1,861,0,590,0,1451
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2002,1,4325,0,2167,0,6492
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2002,1,1900,0,1466,0,3366
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2002,1,841,0,631,0,1472
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2002,1,286,0,902,0,1188
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2002,1,0,0,0,0,0
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2002,1,1346,1231,682,915,4174
Los Angeles Sheriff's Dept.,Sybil Brand Institute,2002,1,0,0,0,0,0
Madera Corrections Dept.,Madera Adult Correctional Fac,2002,1,270,26,28,4,328
Marin Sheriff's Dept.,Marin County Jail,2002,1,221,35,37,9,302
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2002,1,18,2,19,3,42
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2002,1,137,19,93,24,273
Merced Sheriff's Dept.,John Latorraca Correctional Center,2002,1,278,45,109,16,448
Merced Sheriff's Dept.,Merced County Jail ,2002,1,139,0,30,0,169
Modoc Sheriff's Dept.,Modoc County Jail,2002,1,14,2,15,4,35
Mono Sheriff's Dept.,Mono County Jail ,2002,1,10,3,9,2,24
Monterey Sheriff's Dept.,Monterey County Jail ,2002,1,389,46,158,55,648
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2002,1,64,0,230,0,294
Napa Corrections Dept.,Napa County Jail ,2002,1,86,13,133,16,248
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2002,1,61,4,45,9,119
Oakland Police Dept.,Oakland Jail,2002,1,95,24,0,0,119
Orange Sheriff's Dept.,Intake Release Center ,2002,1,351,77,204,82,714
Orange Sheriff's Dept.,James A Musick Facilities,2002,1,118,11,456,49,634
Orange Sheriff's Dept.,Orange County Mens Jail ,2002,1,650,0,474,0,1124
Orange Sheriff's Dept.,Orange County Women's Jail,2002,1,0,160,0,166,326
Orange Sheriff's Dept.,Theo Lacy,2002,1,898,0,826,0,1724
Placer Sheriff's Dept.,Placer County Main Jail ,2002,1,213,19,63,11,306
Placer Sheriff's Dept.,Placer County Minimum Security ,2002,1,9,6,107,23,145
Plumas Sheriff's Dept.,Plumas County Jail ,2002,1,15,5,15,3,38
Riverside Sheriff's Dept.,Blythe Jail ,2002,1,45,0,53,0,98
Riverside Sheriff's Dept.,Indio Jail ,2002,1,251,21,53,12,337
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2002,1,192,55,320,96,663
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2002,1,732,126,173,43,1074
Riverside Sheriff's Dept.,Southwest Detention Center,2002,1,726,3,303,0,1032
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2002,1,17,0,1055,0,1072
Sacramento Sheriff's Dept.,Rio Cosumnes- Womens Facility,2002,1,0,0,0,0,0
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2002,1,1323,243,103,134,1803
San Benito Sheriff's Dept.,San Benito Adult Detention ,2002,1,48,6,42,5,101
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2002,1,622,75,62,4,763
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2002,1,89,1,611,120,821
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2002,1,2494,341,302,79,3216
San Diego Sheriff's Dept.,Descanso Detention Facility,2002,1,0,0,233,0,233
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2002,1,35,0,313,0,348
San Diego Sheriff's Dept.,George Bailey Detention Facility,2002,1,902,0,602,0,1504
San Diego Sheriff's Dept.,Las Colinas Womens Detention ,2002,1,0,329,0,270,599
San Diego Sheriff's Dept.,San Diego Central Detention ,2002,1,680,0,192,0,872
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2002,1,261,0,92,0,353
San Diego Sheriff's Dept.,Vista Facility ,2002,1,558,67,192,16,833
