"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2003,9,145,20,40,11,216
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2003,9,45,6,67,12,130
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2003,9,119,0,133,0,252
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2003,9,5171,0,1789,0,6960
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2003,9,2084,0,869,0,2953
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2003,9,765,0,288,0,1053
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2003,9,626,0,577,0,1203
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2003,9,1760,1514,529,538,4341
Madera Corrections Dept.,Madera Adult Correctional Fac,2003,9,180,18,94,10,302
Marin Sheriff's Dept.,Marin County Jail,2003,9,219,37,27,8,291
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2003,9,12,2,22,3,39
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2003,9,113,22,81,19,235
Merced Sheriff's Dept.,John Latorraca Correctional Center,2003,9,309,48,91,16,464
Merced Sheriff's Dept.,Merced County Jail ,2003,9,137,1,31,0,169
Modoc Sheriff's Dept.,Modoc County Jail,2003,9,20,2,8,2,32
Mono Sheriff's Dept.,Mono County Jail ,2003,9,12,2,15,6,35
Monterey Sheriff's Dept.,Monterey County Jail ,2003,9,411,65,145,59,680
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2003,9,107,0,285,0,392
Napa Corrections Dept.,Napa County Jail ,2003,9,38,6,170,21,235
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2003,9,70,12,66,11,159
Oakland Police Dept.,Oakland Jail,2003,9,76,18,0,0,94
Orange Sheriff's Dept.,Intake Release Center ,2003,9,268,99,177,111,655
Orange Sheriff's Dept.,James A Musick Facilities,2003,9,227,47,614,121,1009
Orange Sheriff's Dept.,Orange County Mens Jail ,2003,9,741,0,567,0,1308
Orange Sheriff's Dept.,Orange County Women's Jail,2003,9,0,154,0,185,339
Orange Sheriff's Dept.,Theo Lacy,2003,9,934,0,906,0,1840
Placer Sheriff's Dept.,Placer County Main Jail ,2003,9,236,21,69,12,338
Placer Sheriff's Dept.,Placer County Minimum Security ,2003,9,11,6,116,25,158
Plumas Sheriff's Dept.,Plumas County Jail ,2003,9,29,5,17,3,54
Riverside Sheriff's Dept.,Blythe Jail ,2003,9,75,3,41,0,119
Riverside Sheriff's Dept.,Indio Jail ,2003,9,316,27,51,5,399
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2003,9,247,74,296,82,699
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2003,9,751,162,175,59,1147
Riverside Sheriff's Dept.,Southwest Detention Center,2003,9,867,2,210,0,1079
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2003,9,103,0,1453,0,1556
Sacramento Sheriff's Dept.,Rio Cosumnes- Womens Facility,2003,9,0,0,0,0,0
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2003,9,1259,196,138,215,1808
San Benito Sheriff's Dept.,San Benito Adult Detention ,2003,9,56,6,53,10,125
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2003,9,727,116,62,4,909
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2003,9,130,14,871,203,1218
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2003,9,2442,359,292,57,3150
San Diego Sheriff's Dept.,Descanso Detention Facility,2003,9,5,0,256,0,261
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2003,9,43,0,423,0,466
San Diego Sheriff's Dept.,George Bailey Detention Facility,2003,9,937,0,523,0,1460
San Diego Sheriff's Dept.,Las Colinas Womens Detention ,2003,9,0,373,0,263,636
San Diego Sheriff's Dept.,San Diego Central Detention ,2003,9,647,0,194,0,841
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2003,9,398,0,53,0,451
