"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,1997,1,533,23,63,0,619
Alameda Sheriff's Dept.,Santa Rita Jail,1997,1,2223,184,836,168,3411
Amador Sheriff's Dept.,Amador County Jail,1997,1,18.1,1.84,22.9,3.26,46.1
Butte Sheriff's Dept.,Butte County Jail,1997,1,217,25,157,21,420
Calaveras Sheriff's Dept.,Calaveras County Jail,1997,1,20,1.9,24.3,6.1,52.3
Colusa Sheriff's Dept.,Colusa County Jail,1997,1,27,3,33,4,67
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,1997,1,0,0,227,0,227
Contra Costa Sheriff's Dept.,Martinez Detention Facility,1997,1,486,48,183,18,735
Contra Costa Sheriff's Dept.,West County Detention Facility ,1997,1,302,71,174,41,588
Del Norte Sheriff's Dept.,Del Norte County Jail,1997,1,20,4,56,8,88
El Dorado Sheriff's Dept.,El Dorado County Jail,1997,1,38,5,139,10,192
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,1997,1,14,4,78,9,105
Fresno Sheriff's Dept.,Fresno County Main Jail,1997,1,656,183,88,37,964
Fresno Sheriff's Dept.,Fresno County Satellite Jail,1997,1,2,0,114,0,116
Fresno Sheriff's Dept.,Fresno North Annex Jail,1997,1,409,0,5,0,414
Fresno Sheriff's Dept.,Fresno South Annex Jail,1997,1,466,0,157,0,623
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,1997,1,43,3,27,1,74
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,1997,1,212,25,15,2,254
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,1997,1,100,40,122,40,302
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,1997,1,100,40,65,40,245
Inyo Sheriff's Dept.,Inyo County Jail,1997,1,21.5,4.7,33,5,64.2
Kern Sheriff's Dept.,Kern County- Female Minimum ,1997,1,0,0,0,94,94
Kern Sheriff's Dept.,Lerdo Maximum/Medium,1997,1,0,0,0,0,0
Kern Sheriff's Dept.,Lerdo Minimum,1997,1,604,0,277,0,881
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,1997,1,700,195,168,17,1080
Kings Sheriff's Dept.,Kings County Branch Jail ,1997,1,25,6,87,13,131
Kings Sheriff's Dept.,Kings County Main Jail,1997,1,121,10,60,12,203
Lake Sheriff's Dept.,Lake County Facility,1997,1,21,5,59,28,113
Lake Sheriff's Dept.,Lake County Hill Road Facility ,1997,1,57,0,11,0,68
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,1997,1,27,2,42,12,83
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,1997,1,1041,0,520,0,1561
Los Angeles Sheriff's Dept.,LA Men's Central Jail,1997,1,5143,0,2678,0,7821
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,1997,1,1947,0,2271,0,4218
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,1997,1,1353,0,414,0,1767
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,1997,1,1205,0,358,0,1563
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),1997,1,191,0,1263,0,1454
Los Angeles Sheriff's Dept.,Sybil Brand Institute,1997,1,28,1175,9,794,2006
Madera Corrections Dept.,Madera Adult Correctional Fac,1997,1,142.52,21.19,127.77,9.65,301.13
Marin Sheriff's Dept.,Marin County Jail,1997,1,185,34,49,13,281
