Census Tract,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6085509202,4708,9.77,74.68,15.55,18.69,39.02,2.74,0,33.2,6.35
6085509302,3241,14.25,69.24,16.51,10.52,60.66,1.02,0,21.97,5.83
6085509303,3563,9.74,70.59,19.67,15.3,36.49,4.27,0,35.53,8.42
6085509304,3607,10.4,82.98,6.63,33.66,36.1,0.36,0,26.06,3.83
6085509401,3806,13.85,79.4,6.75,15.11,33.92,3.44,0,43.35,4.18
6085509403,5779,14.86,82.02,3.11,34.26,29.54,2.39,0.45,31.41,1.96
6085509404,7129,16.44,74.75,8.81,28.43,34.23,0.5,0,35.24,1.6
6085509500,5729,8.38,86.16,5.46,32.24,36.67,3.7,0,25.25,2.13
6085509600,3686,8.9,81.63,9.47,15.98,49.59,1.28,0,28.76,4.4
6085509700,3135,11.74,78.76,9.51,13.3,60.93,1.02,0,19.81,4.94
6085509801,5606,12.5,73.85,13.65,11.17,56.15,0.98,0,26.1,5.6
6085509802,3167,16.01,71.3,12.69,6.03,49.45,0.44,0,38.64,5.43
6085509901,1938,12.02,68.58,19.4,5.06,61.82,0,0,28.84,4.28
6085509902,5125,10.97,68.8,20.23,12.16,50.67,0.51,1,32.49,3.18
6085510001,6564,10.6,69.21,20.19,4.04,54.77,0.15,0,34.9,6.14
6085510002,3616,11.73,71.38,16.9,8.41,51.66,0.44,0,34.65,4.84
6085510100,2906,14.01,63.08,22.92,3.54,59.26,0,0.76,31.31,5.13
6085510200,4624,12.13,70.2,17.67,4.35,63.08,1.19,0,26.82,4.56
6085510300,4246,10.5,67.4,22.09,3.32,63.33,0.52,0,27.18,5.65
6085510400,3705,13.79,71.17,15.03,4.1,53.66,0.65,0.05,32.93,8.61
6085510500,4541,11.96,60.89,27.15,2.18,63.55,0.22,0,30.41,3.63
6085510600,5761,11.75,69.55,18.69,9.79,53.84,1.79,0,30.52,4.06
6085510700,5240,11.35,77.35,11.3,2.67,43.49,4.05,0,45.46,4.33
6085510801,5954,9.22,67.97,22.81,1.86,49.7,1.34,0,42.07,5.02
6085510802,2038,11.73,66.39,21.88,8.73,51.52,1.82,0,30.42,7.51
6085510803,2700,9.93,71.26,18.81,11.26,41.19,2.3,0,43,2.26
6085510900,5494,12.54,69.86,17.6,7.57,52.26,1.42,0,35.37,3.39
6085511000,6833,10.77,77.15,12.07,4.9,45.32,0.89,0,41.76,7.11
6085511100,5543,11.98,70.77,17.25,4.93,54.52,1.1,0.09,34.15,5.21
6085511200,4698,12.56,69.8,17.65,1.53,66.52,1.26,0,25.46,5.24
6085511301,3888,9.16,65.46,25.39,6.61,69.8,4.3,0,12.86,6.43
6085511302,3998,6.53,67.16,26.31,7.9,59.7,1.75,0,26.44,4.2
6085511400,3505,9.79,70.47,19.74,5.42,56.38,0,1.71,28.07,8.42
6085511500,7992,7.76,70.66,21.58,6.12,64.44,1.4,0.9,21.57,5.57
6085511608,3302,0.58,99.3,0.12,23.74,41.1,5.03,0.58,22.29,7.27
6085511609,3407,15.44,61.26,23.3,6.11,66.22,1.56,0,21.84,4.29
6085511701,4392,8.29,64.85,26.87,5.87,58.33,1.18,0,31.01,3.6
6085511702,2635,10.55,68.2,21.25,4.59,63.91,0.19,0.3,23.34,7.67
6085511704,4789,5.64,66.51,27.86,2.82,58.61,0,0,35.48,3.09
6085511705,1113,10.42,68.19,21.38,3.68,61.01,4.85,0,23,7.46
6085511707,2820,4.82,60,35.18,4.65,66.88,1.99,0.35,23.58,2.55
6085511800,4335,9.43,75.94,14.63,4.43,87.73,0.07,0,3.97,3.81
