Census Tract,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6001400100,3120,7.82,66.12,26.06,3.78,74.26,3.43,0,12.53,5.99
6001400200,2007,10.46,66.32,23.22,8.67,73.49,2.59,0.2,8.52,6.53
6001400300,5051,11.42,73.04,15.54,6.95,67.99,9.09,0,12.14,3.84
6001400400,4007,9.38,78.79,11.83,12.1,63.74,6.64,0.87,10.48,6.16
6001400500,4124,9.12,81.96,8.92,9.46,45.44,21.39,0,11.34,12.37
6001400600,1745,9.97,81.43,8.6,7.51,49.28,20.52,0.17,10.54,11.98
6001400700,5128,7.62,82.45,9.93,19.38,38.28,28.24,0,6.42,7.68
6001400800,4069,9.04,81.52,9.44,10.62,43.55,23.27,0.2,15.19,7.18
6001400900,2471,11.17,79.81,9.02,15.82,41.64,28.77,2.47,4.09,7.2
6001401000,6133,9.96,80.61,9.42,18.72,33.44,30.36,0,8.27,9.21
6001401100,4287,8.82,84.7,6.48,10.75,52.39,7.74,0,20.08,9.03
6001401200,2619,8.59,82.44,8.97,12.18,61.02,11.26,0.08,11.49,3.97
6001401300,3921,3.9,81.92,14.18,10.12,38.41,28.51,0.61,16.76,5.59
6001401400,4732,8.09,84.53,7.38,18.96,25.74,31.93,1.54,12.37,9.47
6001401500,2839,4.54,84.71,10.74,14.12,36.91,37.34,0,5.39,6.23
6001401600,2289,6.68,88.16,5.16,20.05,28.66,35.91,0,11.36,4.02
6001401700,3018,12.06,80.22,7.72,26.64,38.87,17.03,0,12.16,5.3
6001401800,1801,10.94,80.07,9,20.27,33.48,38.2,0.22,5.5,2.33
6001402200,2477,11.51,79.09,9.41,16.23,29.87,31.77,1.25,16.35,4.52
6001402400,2866,8.86,74.56,16.57,9.14,24.11,48.39,0,12.98,5.37
6001402500,1781,17.24,72.99,9.77,14.77,10.89,58.39,0,13.31,2.64
6001402600,1243,5.87,68.46,25.66,16.49,14.4,25.91,0.48,38.7,4.02
6001402700,1890,9.68,82.65,7.67,20.58,23.23,42.28,0.63,10.85,2.43
6001402800,4480,5.58,75.27,19.15,6.27,28.19,38.08,0.58,18.57,8.3
6001402900,1406,0.43,71.41,28.17,17.64,21.55,17.14,0.21,37.55,5.9
6001403000,2905,4.68,55.83,39.48,2.27,6.51,4.37,0.34,83.93,2.58
6001403100,2101,5.19,82.67,12.14,13.04,27.84,17.66,0.29,38.41,2.76
6001403300,4178,3.52,75.78,20.7,6.03,26.16,7.47,2.39,52.23,5.72
6001403400,4340,4.26,74.65,21.08,8.18,39.54,19.15,0.44,26.8,5.9
6001403501,4492,7.59,74.93,17.48,12.27,37.47,23.89,0.53,19.46,6.39
6001403502,2044,3.38,83.46,13.16,11.94,42.03,25.44,0,11.11,9.49
6001403600,5570,9.41,80.48,10.11,13.91,29.34,41.24,0.23,9.37,5.91
6001403701,2968,4.14,77.29,18.56,12.2,43.03,26.75,0,12.6,5.42
6001403702,1930,5.54,77.67,16.79,9.79,51.92,15.03,0,17.67,5.6
6001403800,3351,7.67,78.96,13.37,3.58,67.74,12.98,0,11.82,3.88
6001403900,4051,6.74,77.09,16.17,7.43,57.29,13.55,0.22,16.17,5.33
6001404000,2895,5.94,82.28,11.78,16.41,55.2,7.25,1,12.64,7.5
6001404101,3017,3.81,79.52,16.67,7.03,62.18,7.86,0.36,12.6,9.98
6001404102,2653,4.98,62.16,32.87,9.88,66.49,4.71,1.36,12.77,4.79
6001404200,3877,13.95,68.22,17.82,5.6,61.75,6.32,0.21,19.83,6.29
6001404300,3443,13.19,66.8,20.01,12,65.29,1.66,0,13.56,7.49
6001404400,5628,10.41,70.52,19.07,5.31,67,2.33,0.32,12.95,12.08
6001404501,1809,14.7,64.29,21.01,6.69,66.39,6.74,0,12.05,8.13
6001404502,5891,15.02,67.24,17.74,7.62,75.51,1.14,0,10.19,5.55
6001404600,4625,9.84,65.92,24.24,4.82,69.69,3.85,0.17,15.35,6.12
6001404700,2137,13.29,67.52,19.19,9.45,69.58,5.99,0,11.65,3.32
6001404800,2647,8.16,75.82,16.02,14.43,49.38,15.98,0.42,11.07,8.73
6001404900,4197,13.53,66.9,19.56,11.84,56.09,9.6,0.67,16.11,5.69
6001405000,3394,12.93,67.21,19.86,7.4,61.58,11.73,0,10.99,8.31
6001405100,4285,11.23,67.82,20.96,3.43,65.02,13.56,0,10.15,7.84
6001405200,5183,7.1,78.45,14.45,15.84,38.26,8.99,0.29,32.03,4.59
6001405301,2954,8.56,79.49,11.95,18.28,52.64,11.48,0,10.73,6.87
6001405302,2373,5.82,75.94,18.25,8.09,30.76,12.81,0.34,42.31,5.69
6001405401,3648,8.77,79.96,11.27,22.59,20.53,16.23,0,35.01,5.65
6001405402,3357,11.77,80.91,7.33,21.06,17.25,25.8,0.24,30.98,4.68
6001405500,3880,9.33,76.13,14.54,9.28,21.42,22.42,0.7,42.53,3.66
6001405600,3269,7.46,82.56,9.97,24.23,26.49,17.99,2.23,22.24,6.82
6001405700,3531,6.8,84.62,8.58,13.65,14.39,21.16,0.48,46.02,4.3
6001405800,4370,11.33,77.46,11.21,17.05,15.01,21.6,1.3,43.38,1.65
6001405901,4426,15.02,75.98,8.99,41.3,3.68,14.19,1.06,37.4,2.37
6001405902,2942,10.27,76.44,13.29,25.12,8.77,11.96,0.48,49.39,4.28
6001406000,3796,5.45,80.01,14.54,23.6,18.49,13.83,0,41.97,2.11
6001406100,4733,10.61,77.94,11.45,57.24,14.85,8.92,0,18,0.99
6001406201,4995,15.98,77.88,6.15,41.46,5.29,21.14,0.16,28.87,3.08
6001406202,4817,15.8,74.82,9.38,59.89,9.51,14.2,2.1,12.52,1.79
6001406300,4383,15.08,76.75,8.17,33.77,12.62,26.49,0.43,24.21,2.49
6001406400,2545,13.95,63.85,22.2,21.45,31.47,20.67,0.2,19.61,6.6
6001406500,6586,13.45,77.24,9.31,50.47,11.69,16.47,0,16.82,4.54
6001406601,4955,13.3,76.83,9.87,35.6,14.89,20.02,0.16,21.98,7.35
6001406602,2698,12.12,75.76,12.12,28.28,12.6,16.42,1.56,36.25,4.89
6001406700,5159,9.79,67.59,22.62,13.82,45.13,14.5,0.66,20.53,5.37
6001406800,3611,14.07,68.85,17.09,25.31,33.12,11.16,0.44,21.07,8.89
6001406900,3608,11.83,70.57,17.6,10.2,47.03,18.57,0.42,16.77,7.01
6001407000,5869,12.57,73.33,14.09,29.95,13.12,21.03,1.16,24.76,9.98
6001407101,3821,14.81,75.61,9.58,54.23,4.92,13.98,0.21,25.02,1.65
6001407102,4387,17.39,72.83,9.78,44.54,9.92,26.05,0.39,13.93,5.17
6001407200,6985,11.71,79.3,8.99,64.98,9.55,8.45,0.21,13.9,2.91
6001407300,2420,6.28,87.48,6.24,63.72,11.82,10.99,0.12,10.25,3.1
6001407400,4531,16.29,75.86,7.86,70.12,1.77,18.16,0,7.46,2.49
6001407500,4299,13.63,77.62,8.75,55.04,4.16,29.01,0.09,6.59,5.12
6001407600,6327,11.27,80.09,8.65,32.01,16.75,39.07,0,8.31,3.86
6001407700,4122,11.67,71.98,16.35,16.21,30.01,42.94,0,5.41,5.43
6001407800,2728,9.68,79.44,10.89,19.83,31.16,23.64,0,20.27,5.1
6001407900,2873,16.92,66.79,16.29,8.39,49.7,18.45,0,15.63,7.83
6001408000,2700,6.19,74.04,19.78,12.48,54.67,9.26,0.44,18.55,4.59
6001408100,6320,8.53,68.66,22.82,10.06,40.05,23.83,0,20.36,5.7
6001408200,4570,9.34,79.43,11.23,15.6,18.25,51.42,0.77,5.87,8.1
6001408300,5047,11.55,77.43,11.02,21.93,22.51,37.19,0.12,12.88,5.37
6001408400,3201,12.4,78.01,9.59,37.8,7.44,50.3,0,1.87,2.59
6001408500,5977,20.28,72.66,7.06,53.61,2.41,36.82,0.02,4.1,3.05
6001408600,7096,21.1,70.45,8.46,52.35,3.31,35.19,0.27,4.26,4.62
6001408700,7909,14.49,73.23,12.28,45.08,8.38,41.88,0,2.29,2.38
6001408800,7149,20.74,70.26,8.99,46.64,5.41,38.02,0,9.36,0.57
6001408900,3546,16.02,75.21,8.77,65.93,4.94,21.4,0,5.56,2.17
6001409000,4687,18.33,72.97,8.7,53.53,2.01,34.95,0,4.85,4.67
6001409100,2490,13.82,77.67,8.51,59.24,1.97,27.87,0.72,4.38,5.82
6001409200,3672,12.25,80.17,7.57,57.03,2.53,30.96,0,6.54,2.94
6001409300,5303,17.01,72.94,10.05,65.17,4.79,24.61,0,3.3,2.13
6001409400,4780,17.3,76.21,6.49,69.6,4.52,15.23,0,9.58,1.07
6001409500,4128,18.1,73.69,8.21,64.87,4.19,25,0.12,3.68,2.13
6001409600,4978,13.46,78.75,7.79,57.01,3.19,32.6,0.22,5.4,1.57
6001409700,4991,16.83,76,7.17,57.7,3.55,32.02,0,2.22,4.51
6001409800,3516,10.49,74.8,14.7,12.51,20.39,55.29,0.28,4.27,7.25
6001409900,3642,12.05,65.95,21.99,8.1,28.72,47.09,0,7.28,8.81
6001410000,3242,10.83,64.47,24.71,9.25,28.84,40.13,0.25,5.76,15.76
6001410100,2667,13.69,73.23,13.09,17.55,12.37,55.46,0,5.36,9.26
6001410200,3630,13.22,76.14,10.63,35.23,1.46,55.1,0.85,5.24,2.12
6001410300,3857,16.75,77.39,5.86,65.52,2.15,24.86,0.47,4.46,2.54
6001410400,4477,11.32,77.06,11.61,47.71,6.39,33.62,0.27,10.1,1.92
6001410500,2705,16.67,75.6,7.73,9.83,14.9,61.07,0.26,11.76,2.18
6001420100,2440,11.6,74.39,14.02,7.87,61.72,0.45,0.41,20.98,8.57
6001420200,3332,12.12,75.24,12.64,12.06,35.5,5.58,0.54,38.39,7.92
6001420300,4977,13.58,74.06,12.36,15.69,29.78,3.94,1.21,40.96,8.42
6001420400,3062,22.53,76.06,1.4,29.78,31.71,1.21,0.36,30.96,5.98
6001420500,2557,13.34,74.03,12.63,11.18,51.15,5.4,1.06,21.12,10.09
6001420600,3436,10.71,70.95,18.34,11.64,66.44,0.35,0,15.16,6.4
6001421100,2084,8.45,58.25,33.3,5.9,78.36,1.73,0,11.04,2.98
6001421200,3594,10.55,56.54,32.92,4.12,72.87,1.34,0.11,10.13,11.44
6001421300,3873,10.92,59.7,29.38,3.67,78.65,1.5,0,8.99,7.2
6001421400,1634,8.2,60.47,31.33,6.43,73.38,1.84,0.43,12.6,5.32
6001421500,3694,8.07,65.32,26.61,4.74,77.77,2.57,0,12.05,2.87
6001421600,3617,10.64,62.76,26.6,3.98,73.49,3.1,0,13.43,6
6001421700,3492,9.05,71.88,19.07,9.25,68.24,0.66,0.14,18.07,3.64
6001421800,2144,7.6,70.71,21.69,3.03,74.77,1.45,0.05,13.99,6.72
6001421900,4171,12.68,70.18,17.14,10.67,56.22,5.35,0,17.94,9.83
6001422000,2156,11.64,78.06,10.3,6.86,64.33,10.85,0,8.16,9.79
6001422100,3073,8.07,79.11,12.82,20.89,47.02,12.82,0.81,12.2,6.25
6001422200,3237,8.68,75.84,15.48,16.34,52.95,5.28,0,15.79,9.64
6001422300,3643,9.36,74.33,16.31,8.81,60.17,2.88,0.16,21.36,6.62
6001422400,4487,4.26,85.02,10.72,13.73,42.03,1.25,0,37.69,5.3
6001422500,4400,4.07,88.41,7.52,9.89,47.34,2.86,0.23,33.95,5.73
6001422600,1043,0,99.23,0.77,12.37,38.64,3.07,0,44.01,1.92
6001422700,5266,0.42,97.04,2.54,16.56,45.4,2.39,0.89,29.36,5.39
6001422800,9064,0,99.13,0.87,16.14,28.46,4.21,0.14,45.65,5.38
6001422900,5761,0.47,93.42,6.11,5.26,33.97,11.99,0,44.73,4.04
6001423000,4962,8.42,78.23,13.34,12.03,53.39,4.86,0.1,24.87,4.76
6001423100,4413,8.52,76.52,14.96,12.92,49.6,16.61,0,15.11,5.76
6001423200,2982,10.19,82.46,7.34,27.2,30.58,22.43,0,10.73,9.05
6001423300,3504,14.04,67.52,18.44,12.56,44.41,25.49,0.09,9.5,7.96
6001423400,5163,6.41,82.36,11.23,14.8,49.35,13.73,0,12.18,9.94
6001423500,3426,10.25,70.17,19.59,14.21,47.52,20.2,0,13.72,4.35
6001423601,2671,5.39,75.7,18.91,8.72,70.35,5.17,0.64,9.21,5.92
6001423602,6528,1.32,93.15,5.53,8.75,47.29,1.29,1.52,35.78,5.38
6001423700,4148,3.47,82.09,14.44,10.56,61.4,2.29,0.14,20.39,5.21
6001423800,2986,7.27,62.86,29.87,6.36,79.44,2.38,0,7.07,4.76
6001423901,2054,5.01,82.91,12.07,13.92,62.76,10.66,0.34,9.1,3.21
6001423902,1605,9.41,73.52,17.07,5.98,70.72,2.93,0,15.45,4.92
6001424001,4027,10.31,80.08,9.61,16.29,46.83,22.15,0.32,8.64,5.76
6001424002,2583,12.93,75.03,12.04,22.69,27.37,33.6,0.54,10.34,5.46
6001425101,1659,1.15,69.74,29.11,5.85,58.41,3.5,0.3,25.74,6.21
6001425102,3906,6.99,86.43,6.58,8.99,34.02,8.32,0.2,41.78,6.68
6001425103,2795,4.69,89.37,5.94,7.48,43.61,15.31,0.07,26.33,7.19
6001425104,3539,7.8,74.65,17.55,13.62,36.08,26.59,0,18.46,5.26
6001426100,6521,9.39,68.06,22.56,2.05,73.35,0.69,0,19.9,4
6001426200,4796,10.49,69.47,20.04,7.01,67.6,2.29,0.08,15.2,7.82
6001427100,3975,9.71,69.99,20.3,16.1,64.15,1.38,0.48,14.46,3.42
6001427200,4180,11.34,73.09,15.57,16.79,40.05,2.92,0.29,35.9,4.04
6001427300,5346,13.73,67.15,19.12,10.87,37.34,7.22,0.41,38.29,5.87
6001427600,5200,14.27,77.77,7.96,10.27,28.52,18.75,0.08,35.48,6.9
6001427700,5201,8.09,76.5,15.4,17.71,48.45,9.44,0.04,17.88,6.48
6001427800,4954,10.56,74.38,15.06,9.87,53.88,4.76,0.12,21.7,9.67
6001427900,5052,9.2,78.88,11.92,14.25,48.14,4.59,0.67,28.35,4
6001428000,2877,7.4,79.91,12.69,23.39,36.29,5.32,0.1,27.15,7.75
6001428100,4839,10.93,73.86,15.21,11.57,52.76,6.51,0,22.36,6.8
6001428200,6606,11.87,69.63,18.5,12.82,51.79,6.27,0,21.57,7.55
6001428301,7277,12.37,73.29,14.35,10.6,31.66,4.64,0.3,44.34,8.45
6001428302,7424,12.96,66.69,20.35,6.45,41.69,2.61,0,42.9,6.34
6001428400,4568,12.92,71.54,15.54,17.56,39.71,10.75,0.46,25.35,6.17
6001428500,3097,10.91,72.36,16.73,12.82,41.14,7.94,1,27.58,9.53
6001428600,3454,11.87,64.01,24.12,6.02,42.96,7.35,0.26,34.22,9.18
6001428700,4472,17.62,73.95,8.43,16.26,27.42,16.82,0.42,32.67,6.42
6001430101,6842,12.41,70.29,17.3,9.37,28.95,6.45,0.15,50.89,4.19
6001430102,2424,9.28,69.18,21.53,12.29,57.84,1.69,0,20.05,8.13
6001430200,6878,13.13,68.17,18.7,9.46,56.47,4.71,0.89,23.85,4.61
6001430300,3826,12.28,69.58,18.14,13.12,55.85,1.12,0,25.64,4.26
6001430400,2107,10.82,69.72,19.46,11.72,58.99,1.52,0,22.5,5.27
6001430500,5987,13.23,74.58,12.19,19.22,29.33,24.85,0.77,21.92,3.91
6001430600,6486,10.96,66.05,22.99,12.78,46.15,7.49,0.49,28.11,4.98
6001430700,4170,14.22,73.07,12.71,15.8,50.14,4.87,0.43,21.1,7.65
6001430800,5282,11.42,71.39,17.19,7.5,57.08,1.53,0.89,29.07,3.94
6001430900,5309,17.07,68.56,14.37,21,42.12,9.68,0.85,19.13,7.21
6001431000,2777,16.02,73.14,10.84,19.45,36.51,5.69,0.72,30.75,6.88
6001431100,3561,11.99,78.66,9.35,30.36,31.9,17.05,0.14,13.09,7.47
6001431200,5574,9.99,71.33,18.68,23.32,46.39,10.64,0,13.94,5.71
6001432100,3574,9.57,72.02,18.41,17.8,45.13,11.56,0,20.39,5.12
6001432200,4078,9.51,70.75,19.74,24.23,34.58,22.09,0.37,12.88,5.86
6001432300,4744,8.87,80.73,10.39,33.05,19.08,11.42,0.34,30.06,6.05
6001432400,7003,12.17,77.17,10.67,42.12,16.99,6.64,0,31.62,2.63
6001432501,4854,10.24,75.44,14.32,29.77,16.98,7.29,0.12,42.3,3.54
6001432502,5178,11.9,78.2,9.91,29.7,13.81,13.25,0.06,40.77,2.41
6001432600,7043,10.32,73.26,16.41,30.34,25.43,14.62,0.7,25.64,3.27
6001432700,2816,7.88,74.68,17.44,25.82,44,5.97,0.43,17.23,6.57
6001432800,3979,10.4,63.23,26.36,21.36,29.35,10.35,0.15,33.73,5.05
6001433000,3654,9.8,72.14,18.06,20.61,30.02,5.88,0.08,40.23,3.17
6001433102,4485,13.11,71.24,15.65,36.16,11.17,8.63,0.11,41.34,2.59
6001433103,3523,9.99,83.22,6.78,42.95,13.71,16.58,0.57,24.64,1.56
6001433104,3724,10.23,70.54,19.23,29.86,28.49,21.78,0.64,12.11,7.12
6001433200,7991,15.4,73.18,11.41,28.66,17.47,12.11,0.48,36.75,4.53
6001433300,7761,9.26,74.53,16.21,23.45,26.66,0.27,0,47.01,2.6
6001433400,5934,6.74,72.4,20.86,9.03,16.48,9.29,1.31,58.66,5.22
6001433500,4830,11.47,72.88,15.65,22.67,26.46,4.22,0,46.64,0
6001433600,6094,11.6,76.8,11.6,17.69,23.12,8.71,2,42.78,5.69
6001433700,3503,11.3,83.44,5.25,57.49,13.05,5.31,0.74,18.7,4.71
6001433800,8179,9.93,78.51,11.57,44.81,9.38,7.76,0.23,37.23,0.59
6001433900,7685,15.84,77.62,6.55,40.62,10.72,22.32,0.09,17.25,8.99
6001434000,5334,17.36,73.08,9.56,46.63,13.67,16.31,0.37,18.8,4.22
6001435102,6189,6.4,79.95,13.65,29.44,27.53,13.96,0.53,23.33,5.2
6001435103,7420,8.81,76.81,14.38,10.81,29.35,7.45,0,44.39,7.99
6001435104,6117,15.11,75.66,9.24,38.56,14.34,11,0.36,28.04,7.7
6001435200,4659,11.57,71.54,16.89,27.39,22.41,19.77,0.24,23.78,6.42
6001435300,4739,7.55,79.76,12.68,27.12,25.03,23.13,0.15,21.27,3.31
6001435400,4538,12.67,74.44,12.89,23.75,21.84,27.04,0.4,20.29,6.68
6001435500,3983,9.04,76.8,14.16,41.43,29.1,11.45,0.5,14.58,2.94
6001435601,5662,15.63,78.03,6.34,57.26,11.11,12.7,0.07,15.51,3.36
6001435602,5453,13.11,75.9,10.98,56.89,23.88,6.64,0.11,11.21,1.28
6001435700,5231,9.92,74.4,15.68,47.47,21.33,11.36,0.1,16.99,2.75
6001435800,5543,11.6,76.71,11.69,43.12,22.61,1.23,0,27.91,5.14
6001435900,5371,11.02,74.27,14.71,32.95,28.62,3.44,0,32.06,2.92
6001436000,5063,16.24,70.25,13.51,42.43,29.75,0.85,0.63,24.49,1.86
6001436100,5977,8.25,75.62,16.13,41.53,20.55,3.51,0.49,29.18,4.75
6001436200,4266,19.5,69.76,10.74,57.55,10.62,16.46,0,12.09,3.28
6001436300,9444,11.5,77.03,11.47,48.17,13.13,9.71,0.24,26.97,1.78
6001436401,7173,10.25,74.15,15.6,20.61,34.85,14.43,0.13,23,6.98
6001436402,2704,7.43,64.79,27.77,18.86,42.05,10.87,0,20.89,7.32
6001436500,5375,13.19,81.1,5.71,44.56,14.87,9.58,0.07,25.12,5.8
6001436601,6938,17.53,74.6,7.87,55.48,12.78,6.73,0,15.13,9.87
6001436602,5113,15.76,75.87,8.37,48.46,10.44,13.73,0,24.21,3.15
6001436700,3265,11.64,76.48,11.88,48.45,20.12,5.94,0,21.75,3.74
6001436800,4382,11.71,78.37,9.93,45.94,12.05,13.46,0.87,25.08,2.6
6001436900,6745,14.91,77.48,7.61,55.89,12.2,7.23,0.07,21.72,2.88
6001437000,3493,7.62,76.9,15.49,44.03,18.04,5.67,0.29,27.94,4.04
6001437101,7867,9.64,77.98,12.38,23.48,15.06,7.36,0.9,48.29,4.91
6001437102,4521,10.46,71.91,17.63,29.4,11.72,7.9,0.15,41.87,8.96
6001437200,7489,10.5,72.53,16.97,27.97,18.09,5.53,0.89,41.52,5.98
6001437300,3277,10.28,77.27,12.45,38.11,13.82,12.3,0.03,30.21,5.52
6001437400,3485,13.06,72.37,14.58,54.43,13.97,3.93,0.4,25.77,1.49
6001437500,4531,15.96,74.99,9.05,66.06,13.68,2.87,0,16.58,0.82
6001437600,3536,10.61,71.92,17.48,42.76,13.12,6.05,0,34.31,3.76
6001437701,3773,15.56,79.62,4.82,59.13,9.28,12.88,1.38,15.13,2.2
6001437702,4295,14.06,81.47,4.47,75.83,4.68,6.54,0.19,10.22,2.54
6001437800,4997,8,78.37,13.63,39.08,19.45,2.9,0.96,33.78,3.82
6001437900,2321,13.1,76.82,10.08,59.37,11.98,5.26,0.56,19.69,3.15
6001438000,3952,11.26,81.15,7.59,26.97,27.23,8,0,33.5,4.3
6001438100,8307,15.59,73.28,11.14,40.77,15.97,7.21,0.81,30.39,4.84
6001438201,5144,11.86,73.68,14.46,62.09,7.83,6.42,0,18.5,5.15
6001438203,3888,7.15,73.17,19.68,21.27,15.77,5.45,0,54.58,2.93
6001438204,5838,7.69,73.06,19.25,32.8,12.92,6.18,0.65,40.89,6.56
6001438300,3767,9.56,74.62,15.82,32.47,5.5,8.79,0,50.92,2.34
6001438400,2757,13.82,73.16,13.02,31.41,17.3,9.14,0,39.57,2.58
6001440100,2799,8,61.2,30.8,20.69,39.91,2.93,0.25,34.94,1.29
6001440200,6125,13.26,78.99,7.76,69.68,3.53,6.69,0.15,19.04,0.91
6001440301,7596,10.56,76.67,12.77,30.34,21.27,5.5,0.16,38.44,4.28
6001440304,5035,11.56,69.71,18.73,12.99,6.12,9.22,0,68.44,3.24
6001440305,4190,10.76,68.57,20.67,16.54,18.83,2.36,0.55,57.39,4.32
6001440306,4322,9.37,75.91,14.72,7.73,12.42,4.1,0,69.99,5.76
6001440307,4748,10.32,61.88,27.8,18.87,19.06,4.72,0.21,53.77,3.37
6001440308,6171,8.01,73,18.99,26.8,15.38,3.22,0.05,49.27,5.28
6001440331,3276,13.71,74.18,12.12,25.03,11.54,1.68,0.15,56.01,5.59
6001440332,3505,10.7,74.75,14.55,8.19,8.82,1.83,0.49,75.58,5.11
6001440333,2982,6,75.52,18.48,4.46,15.83,2.21,0.1,71.53,5.87
6001440334,4414,8.27,75.58,16.15,13.98,14.5,9.56,0.16,57.36,4.44
6001440335,7051,14.69,75.89,9.42,1.76,19.03,3.45,0.4,65.13,10.24
6001440336,4437,10.41,73.88,15.71,18.39,18.1,8.72,0.63,50.78,3.38
6001441100,4625,9.21,69.47,21.32,20.02,44.65,0.93,0.52,27.31,6.57
6001441200,7277,15.51,70.81,13.67,18.58,35.29,4.67,0.3,34.9,6.25
6001441301,3301,14.15,74.43,11.42,5.97,18.3,6.51,0.82,64.76,3.64
6001441302,5937,12.87,69.31,17.82,13.14,26.75,2.69,0.2,53.16,4.06
6001441401,8082,17.09,69.03,13.88,9.96,20.56,1.15,0.31,62.7,5.31
6001441402,5407,14.93,71.17,13.91,9.23,16.83,2.4,0.28,67.47,3.79
6001441501,6546,9.35,73.75,16.9,8.1,12.68,2.38,0.29,71.45,5.1
6001441503,8013,18.17,73.47,8.36,3.47,8.77,1.97,0.86,82.95,1.97
6001441521,6175,12.68,72.24,15.08,7.16,16.19,1.59,0,71.2,3.85
6001441522,5233,11.27,73.15,15.57,12.25,13.32,6.67,0.25,65.38,2.14
6001441523,4418,19.31,76.28,4.41,6.43,11.72,2.35,0,77.46,2.04
6001441524,4215,20.9,71.39,7.71,2.54,7.9,2.28,0,85.53,1.76
6001441601,4982,12.89,71.02,16.1,16.82,27.54,9.03,0.32,43.38,2.91
6001441602,8113,13.61,71.38,15.01,17.71,21.78,1.77,0,57.27,1.45
6001441700,8527,14.78,74.97,10.25,20.3,25.19,4.14,0.3,46.7,3.37
6001441800,7543,14.56,75.05,10.39,11.68,34.47,1.87,0.24,49.91,1.83
6001441921,3909,10.41,81.25,8.34,25.74,16.35,6.7,1.89,41.52,7.8
6001441923,6250,16.22,71.09,12.69,9.33,14.78,2.86,0.5,67.34,5.18
6001441924,7481,14.74,74.46,10.8,11.82,18.02,2.93,0.43,62.13,4.68
6001441925,7291,10.82,84.86,4.32,7.53,14.74,6.05,0.16,68.36,3.15
6001441926,4595,18.87,77.24,3.9,32.95,8.68,3.83,0.52,49.55,4.46
6001441927,4492,17.5,72.75,9.75,9.71,13.65,3.25,0.42,67.01,5.97
6001442000,3419,9.71,74.47,15.82,7.9,15.24,0.09,0.53,74.03,2.22
6001442100,5462,8.59,75.21,16.2,0.99,13.38,1.43,0.53,81.09,2.58
6001442200,7473,11.87,70.43,17.7,5.99,19.24,1.42,0.33,71.27,1.74
6001442301,5496,9.72,79.8,10.48,18.38,17.63,3.89,0.69,55.12,4.29
6001442302,6366,14.53,73.88,11.59,11.39,17.22,5.01,0.36,60.3,5.72
6001442400,6822,8.46,80.46,11.08,24.71,20.64,4.09,0.21,48.96,1.39
6001442500,7374,9.55,76.13,14.32,23.39,16.98,3.39,0.57,49.51,6.16
6001442601,4160,8.27,76.25,15.48,20.6,35.1,0.38,0,40.63,3.29
6001442602,5059,14.41,75.09,10.5,27.89,33.7,3.62,0.08,30.92,3.8
6001442700,3048,12.89,71.95,15.16,15.35,36.88,5.05,0.36,39.37,2.99
6001442800,2952,9.01,74.29,16.7,16.7,30.86,1.46,0.14,46.51,4.34
6001442900,7761,12.36,74.8,12.85,17.03,26.49,3.8,1.37,49.26,2.05
6001443001,2891,10.79,80.53,8.68,35.42,22.79,4.91,0.35,34.69,1.83
6001443002,6930,9.9,77.66,12.44,17.49,17.29,2.99,0.17,58.31,3.75
6001443102,5065,10.54,73.62,15.83,5.59,14.41,0.57,0,76.92,2.51
6001443103,4107,10.35,72.02,17.63,3.34,11.03,0.19,0.71,81.74,2.99
6001443104,5620,11.32,76.57,12.12,1.16,17.97,0.34,0,77.62,2.92
6001443105,4785,8.69,75.76,15.55,2.45,13.94,1.55,0,79.37,2.7
6001443200,4053,5.95,73.43,20.63,0.74,18.01,0,0.35,75.99,4.91
6001443301,4355,12.74,74.03,13.23,8.77,25.46,1.45,0,59.89,4.43
6001443321,3368,19.8,74.91,5.29,9.2,5.05,3.8,0,79.9,2.05
6001443322,3308,14.6,72.49,12.91,4.53,19.17,1.63,0.67,70.71,3.3
6001444100,7556,6.55,72.68,20.76,28.82,39.77,1.1,0.12,27.55,2.63
6001444200,7112,10.42,77.02,12.56,33.34,19.35,5.43,0.69,36.11,5.09
6001444301,3973,10.5,75.84,13.67,32.44,32.9,4.66,0,26.83,3.17
6001444302,5185,11.42,78.69,9.89,39.75,14.19,4.55,0.52,38.35,2.64
6001444400,5477,14.19,76.43,9.38,53.41,14.31,4.93,0.44,21.44,5.48
6001444500,7518,12.6,79.22,8.18,47.58,18.45,4.08,0.15,26.56,3.18
6001444601,5787,11.87,70.95,17.18,25.33,31.88,1.37,0.09,38.29,3.04
6001444602,4563,14.99,76.31,8.7,11.51,15.95,5.96,0.11,63.79,2.67
6001450101,5750,17.91,77.9,4.19,8.07,31.95,4.43,0.38,47.39,7.77
6001450102,5664,14.83,78.07,7.1,17.62,24.75,6.36,1.29,41.83,8.16
6001450200,5244,17.37,73.34,9.29,10.37,41.9,3.13,0,38.87,5.74
6001450300,5212,14.87,74.62,10.51,20.64,49.94,3.13,0.12,23.39,2.78
6001450400,7286,13.41,74.44,12.15,13.9,48.34,3.34,0,27.13,7.29
6001450501,3156,13.21,72.37,14.42,8.9,59.54,0,0.63,25.57,5.35
6001450502,5490,12.9,74.01,13.1,8.83,46.03,1.48,0.95,39.52,3.19
