"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2015,1,386,71,71,0,528
Alameda Sheriff's Dept.,Santa Rita Jail,2015,1,1669,167,486,65,2387
Amador Sheriff's Dept.,Amador County Jail,2015,1,39,6,26,10,81
Butte Sheriff's Dept.,Butte County Jail,2015,1,251,48,225,43,567
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2015,1,40,6,30,6,82
Colusa Sheriff's Dept.,Colusa County Jail,2015,1,45,6,14,5,70
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2015,1,0,0,42,0,42
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2015,1,529,8,96,0,633
Contra Costa Sheriff's Dept.,West County Detention Facility ,2015,1,306,125,138,11,580
Del Norte Sheriff's Dept.,Del Norte County Jail,2015,1,36,6,32,11,85
El Dorado Sheriff's Dept.,El Dorado County Jail,2015,1,51,8,42,8,109
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2015,1,107,20,98,27,252
Fresno Sheriff's Dept.,Fresno County Main Jail,2015,1,603,15,255,4,877
Fresno Sheriff's Dept.,Fresno North Annex Jail,2015,1,851,0,412,0,1263
Fresno Sheriff's Dept.,Fresno South Annex Jail,2015,1,111,189,35,103,438
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2015,1,57,11,30,5,103
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2015,1,177,22,85,13,297
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2015,1,100,10,1,0,111
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2015,1,149,21,171,25,366
Inyo Sheriff's Dept.,Inyo County Jail,2015,1,21,1,32,12,66
Kern Sheriff's Dept.,Central Receiving Facility,2015,1,96,36,24,4,160
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2015,1,288,0,83,0,371
Kern Sheriff's Dept.,Lerdo Minimum,2015,1,181,19,482,72,754
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2015,1,659,103,358,63,1183
Kings Sheriff's Dept.,Kings County Branch Jail ,2015,1,73,25,16,5,119
Kings Sheriff's Dept.,Kings County Jail Facility,2015,1,285,53,13,6,357
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2015,1,111,20,108,25,264
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2015,1,32,11.51,28.61,15.29,87
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2015,1,0,1039,0,867,1906
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2015,1,2288,0,1782,0,4070
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2015,1,2133,0,1807,0,3940
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2015,1,3,0,307,0,310
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2015,1,879,0,634,0,1513
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2015,1,388,0,710,0,1098
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2015,1,1867,20,1309,291,3487
Madera Corrections Dept.,Madera Adult Correctional Fac,2015,1,325,37,44,9,415
Marin Sheriff's Dept.,Marin County Jail,2015,1,159,22,58,15,254
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2015,1,26,3,9,1,39
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2015,1,171,24,97,17,309
Merced Sheriff's Dept.,John Latorraca Correctional Center,2015,1,393,56,23,3,475
Merced Sheriff's Dept.,Merced County Jail ,2015,1,183,0,2,0,185
Modoc Sheriff's Dept.,Modoc County Jail,2015,1,12,2,15,2,31
Mono Sheriff's Dept.,Mono County Jail ,2015,1,8,0,11,1,20
Monterey Sheriff's Dept.,Monterey County Jail ,2015,1,459,66,96,39,660
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2015,1,164,0,86,0,250
Napa Corrections Dept.,Napa County Jail ,2015,1,98,15,41,4,158
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2015,1,130,38,36,8,212
Orange Sheriff's Dept.,Intake Release Center ,2015,1,247,150,72,143,612
Orange Sheriff's Dept.,James A Musick Facilities,2015,1,144,25,407,108,684
Orange Sheriff's Dept.,Orange County Mens Jail ,2015,1,703,0,210,0,913
Orange Sheriff's Dept.,Orange County Women's Jail,2015,1,0,121,0,135,256
Orange Sheriff's Dept.,Theo Lacy,2015,1,1510,0,1280,0,2790
Placer Sheriff's Dept.,Placer County Main Jail ,2015,1,304,41,55,10,410
Placer Sheriff's Dept.,So. Placer Minimum Security,2015,1,6,2,85,18,111
Placer Sheriff's Dept.,South Placer Jail,2015,1,73,11,13,2,99
Plumas Sheriff's Dept.,Plumas County Jail ,2015,1,28,4,11,2,45
Riverside Sheriff's Dept.,Blythe Jail ,2015,1,54,0,57,0,111
Riverside Sheriff's Dept.,Indio Jail ,2015,1,223,39,95,27,384
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2015,1,674,110,574,131,1489
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2015,1,482,114,149,55,800
Riverside Sheriff's Dept.,Southwest Detention Center,2015,1,689,5,439,0,1133
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2015,1,631,26,1104,162,1923
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2015,1,1041,165,730,67,2003
San Benito Sheriff's Dept.,San Benito Adult Detention ,2015,1,82,11,18,10,121
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2015,1,719,0,136,0,855
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2015,1,229,128,578,124,1059
San Bernardino Sheriff's Dept.,San Bernardino High Desert Detention Center,2015,1,554,183,106,63,906
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2015,1,1802,266,290,36,2394
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2015,1,120,0,609,0,729
San Diego Sheriff's Dept.,George Bailey Detention Facility,2015,1,681,0,726,0,1407
San Diego Sheriff's Dept.,Las Colinas Women's Detention,2015,1,0,293,0,356,649
San Diego Sheriff's Dept.,San Diego Central Detention ,2015,1,605,0,247,0,852
San Diego Sheriff's Dept.,San Diego Facility #8,2015,1,48,0,11,0,59
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2015,1,251,0,126,0,377
San Diego Sheriff's Dept.,Vista Facility ,2015,1,439,46,216,15,716
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2015,1,2,1,225,114,342
San Francisco Sheriff's Dept.,San Francisco County Jail #2,2015,1,104,89,18,16,227
San Francisco Sheriff's Dept.,San Francisco County Jail #3,2015,1,0,0,0,0,0
San Francisco Sheriff's Dept.,San Francisco County Jail #4,2015,1,235,0,41,0,276
San Francisco Sheriff's Dept.,San Francisco County Jail #5,2015,1,522,0,92,0,614
San Francisco Sheriff's Dept.,San Francisco County Jail #6,2015,1,0,0,0,0,0
San Joaquin Sheriff's Dept.,John J. Zunino Facility,2015,1,714,74,139,13,940
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,2015,1,43,2,223,28,296
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,2015,1,206,27,183,25,441
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,2015,1,0,1,72,16,89
San Mateo Sheriff's Dept.,Maguire Correctional Facility,2015,1,464,10,176,2,652
San Mateo Sheriff's Dept.,Minimum Security Transitional Fac.,2015,1,0,0,27,0,27
San Mateo Sheriff's Dept.,Womens Correctional Center ,2015,1,0,48,0,26,74
San Mateo Sheriff's Dept.,Womens Transitional Fac,2015,1,0,0,0,10,10
Santa Ana Police Dept.,Santa Ana Police Facility,2015,1,222,82,0,0,304
Santa Barbara Sheriff's Dept.,Medium Security Facility,2015,1,85,17,54,12,168
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,2015,1,397,48,142,22,609
Santa Barbara Sheriff's Dept.,Santa Maria Branch Jail,2015,1,13,0,8,0,21
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,2015,1,1233,0,671,0,1904
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,2015,1,0,315,0,162,477
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,2015,1,1091,0,120,0,1211
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,2015,1,0,3,0,10,13
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,2015,1,217,24,58,2,301
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,2015,1,30,0,54,0,84
Shasta Sheriff's Dept.,Shasta County Main Jail ,2015,1,216,36,73,13,338
Sierra Sheriff's Dept.,Sierra County Jail ,2015,1,0,0,1,0,1
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,2015,1,88,9,2,0,99
Solano Sheriff's Dept.,Claybank Facility ,2015,1,148,31,63,14,256
Solano Sheriff's Dept.,Solano County Justice Center ,2015,1,411,48,113,14,586
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,2015,1,332,79,231,75,717
Sonoma Sheriff's Dept.,Sonoma-North County Facility,2015,1,67,0,188,0,255
Stanislaus Sheriff's Dept.,Public Safety Cntr Units 1 & 2,2015,1,114,11,87,13,225
Stanislaus Sheriff's Dept.,Stanislaus Co. Public Safety Center,2015,1,310,65,72,26,473
Stanislaus Sheriff's Dept.,Stanislaus County Jail ,2015,1,275,0,69,0,344
Sutter Sheriff's Dept.,Sutter County Jail ,2015,1,143,24,44,12,223
Tehama Sheriff's Dept.,Tehama County Jail ,2015,1,82,17,69,17,185
Trinity Sheriff's Dept.,Trinity Co. Detention Facility,2015,1,25,4,13,1,43
Tulare Sheriff's Dept.,Bob Wiley Detention Facility,2015,1,363,71,157,80,671
Tulare Sheriff's Dept.,Men's Correctional Facility,2015,1,159,0,139,0,298
Tulare Sheriff's Dept.,Pre-Trial Facility,2015,1,163,26,67,26,282
Tulare Sheriff's Dept.,Tulare County Jail ,2015,1,151,0,102,0,253
Tuolumne Sheriff's Dept.,Tuolumne County Jail ,2015,1,96,22,20,7,145
Ventura Sheriff's Dept.,Todd Road Jail,2015,1,254,96,288,88,726
Ventura Sheriff's Dept.,Ventura County Main Jail ,2015,1,559,7,211,5,782
Ventura Work Furlough,Ventura County Work Furlough ,2015,1,0,0,46,9,55
Yolo Sheriff's Dept.,Leinberger Center ,2015,1,46,8,36,3,93
Yolo Sheriff's Dept.,Monroe Detention Center ,2015,1,164,41,48,10,263
Yuba Sheriff's Dept.,Yuba County Jail ,2015,1,276,30,47,10,363
Alameda Sheriff's Dept.,Glen Dyer Jail,2015,2,388,0,58,0,446
Alameda Sheriff's Dept.,Santa Rita Jail,2015,2,1672,167,537,76,2452
Amador Sheriff's Dept.,Amador County Jail,2015,2,36,9,26,15,86
Butte Sheriff's Dept.,Butte County Jail,2015,2,269,47,215,42,573
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2015,2,43,7,27,5,82
Colusa Sheriff's Dept.,Colusa County Jail,2015,2,41,6,16,5,68
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2015,2,0,0,52,0,52
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2015,2,536,7,90,0,633
Contra Costa Sheriff's Dept.,West County Detention Facility ,2015,2,338,112,135,10,595
Del Norte Sheriff's Dept.,Del Norte County Jail,2015,2,39,7,35,12,93
El Dorado Sheriff's Dept.,El Dorado County Jail,2015,2,118,21,88,28,255
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2015,2,57,8,39,8,112
Fresno Sheriff's Dept.,Fresno County Main Jail,2015,2,625,18,245,4,892
Fresno Sheriff's Dept.,Fresno North Annex Jail,2015,2,876,0,404,0,1280
Fresno Sheriff's Dept.,Fresno South Annex Jail,2015,2,107,220,40,116,483
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2015,2,58,11,26,5,100
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2015,2,202,27,88,14,331
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2015,2,135,9,1,0,145
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2015,2,176,28,178,28,410
Inyo Sheriff's Dept.,Inyo County Jail,2015,2,20,2,37,10,69
Kern Sheriff's Dept.,Central Receiving Facility,2015,2,94,28,22,5,149
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2015,2,276,0,93,0,369
Kern Sheriff's Dept.,Lerdo Minimum,2015,2,193,26,459,65,743
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2015,2,686,112,326,50,1174
Kings Sheriff's Dept.,Kings County Branch Jail ,2015,2,86,24,11,6,127
Kings Sheriff's Dept.,Kings County Jail Facility,2015,2,310,48,15,5,378
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2015,2,115,16,95,29,255
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2015,2,38.89,13.57,24.32,14.82,92
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2015,2,0,1037,0,837,1874
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2015,2,2452,0,1810,0,4262
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2015,2,2225,0,1787,0,4012
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2015,2,0,0,225,0,225
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2015,2,909,0,607,0,1516
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2015,2,322,0,852,0,1174
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2015,2,1980,28,1293,323,3624
Madera Corrections Dept.,Madera Adult Correctional Fac,2015,2,326,44,48,7,425
Marin Sheriff's Dept.,Marin County Jail,2015,2,164,25,66,15,270
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2015,2,23,4,10,2,39
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2015,2,192,22,87,20,321
Merced Sheriff's Dept.,John Latorraca Correctional Center,2015,2,390,62,34,6,492
Merced Sheriff's Dept.,Merced County Jail ,2015,2,190,0,7,0,197
Modoc Sheriff's Dept.,Modoc County Jail,2015,2,10,3,9,4,26
Mono Sheriff's Dept.,Mono County Jail ,2015,2,8,1,11,1,21
Monterey Sheriff's Dept.,Monterey County Jail ,2015,2,411,67,95,27,600
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2015,2,151,0,79,0,230
