"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2017,1,356,0,23,0,379
Alameda Sheriff's Dept.,Santa Rita Jail,2017,1,1513,192,301,37,2043
Amador Sheriff's Dept.,Amador County Jail,2017,1,33.61,10.13,28.65,7.48,80
Butte Sheriff's Dept.,Butte County Jail,2017,1,287,44,200,32,563
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2017,1,43,10,32,10,95
Colusa Sheriff's Dept.,Colusa County Jail,2017,1,41,7,32,5,85
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2017,1,0,0,62,0,62
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2017,1,552,6,102,6,666
Contra Costa Sheriff's Dept.,West County Detention Facility ,2017,1,439,179,101,51,770
Del Norte Sheriff's Dept.,Del Norte County Jail,2017,1,37,12,38,10,97
El Dorado Sheriff's Dept.,El Dorado County Jail,2017,1,124,30,74,23,251
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2017,1,42,4,61,15,122
Fresno Sheriff's Dept.,Fresno County Main Jail,2017,1,682,12,237,2,933
Fresno Sheriff's Dept.,Fresno North Annex Jail,2017,1,962,0,468,0,1430
Fresno Sheriff's Dept.,Fresno South Annex Jail,2017,1,107,184,34,112,437
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2017,1,60,13,22,5,100
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2017,1,239,34,88,15,376
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2017,1,74,9,5,5,93
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2017,1,149,19,184,10,362
Inyo Sheriff's Dept.,Inyo County Jail,2017,1,19,5,24,5,53
Kern Sheriff's Dept.,Central Receiving Facility,2017,1,81,23,18,4,126
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2017,1,302,0,78,0,380
Kern Sheriff's Dept.,Lerdo Minimum,2017,1,216,30,306,56,608
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2017,1,668,103,202,47,1020
Kings Sheriff's Dept.,Kings County Branch Jail ,2017,1,75,6,24,12,117
Kings Sheriff's Dept.,Kings County Jail Facility,2017,1,238,36,38,6,318
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2017,1,159,23,84,21,287
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2017,1,44.3,5.1,25.8,9.2,84
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2017,1,0,1181,0,806,1987
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2017,1,2627,0,1497,0,4124
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2017,1,2434,0,1484,0,3918
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2017,1,0,0,66,0,66
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2017,1,841,0,550,0,1391
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2017,1,409,0,830,0,1239
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2017,1,2232,18,880,84,3214
Madera Corrections Dept.,Madera Adult Correctional Fac,2017,1,277,35,94,12,418
Marin Sheriff's Dept.,Marin County Jail,2017,1,219,36,62,49,366
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2017,1,12,6,13,3,34
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2017,1,144,31,108,19,302
Merced Sheriff's Dept.,John Latorraca Correctional Center,2017,1,396,47,19,1,463
Merced Sheriff's Dept.,Merced County Jail ,2017,1,188,0,1,0,189
Modoc Sheriff's Dept.,Modoc County Jail,2017,1,14,3,8,2,27
Mono Sheriff's Dept.,Mono County Jail ,2017,1,11,1,10,2,24
Monterey Sheriff's Dept.,Monterey County Jail ,2017,1,535,68,260,46,909
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2017,1,0,0,0,0,0
Napa Corrections Dept.,Napa County Jail ,2017,1,192,32,19,5,248
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2017,1,109,23,31,11,174
Orange Sheriff's Dept.,Intake Release Center ,2017,1,288,164,87,137,676
Orange Sheriff's Dept.,James A Musick Facilities,2017,1,99,24,381,106,610
Orange Sheriff's Dept.,Orange County Mens Jail ,2017,1,761,0,363,0,1124
Orange Sheriff's Dept.,Orange County Women's Jail,2017,1,0,145,0,151,296
Orange Sheriff's Dept.,Theo Lacy,2017,1,1674,0,1568,0,3242
Placer Sheriff's Dept.,Placer County Main Jail ,2017,1,306,41,56,10,413
Placer Sheriff's Dept.,So. Placer Minimum Security,2017,1,8,0,108,0,116
Placer Sheriff's Dept.,South Placer Jail,2017,1,86,4,14,35,139
Plumas Sheriff's Dept.,Plumas County Jail ,2017,1,32.1,10.68,4.26,1.1,48
Riverside Sheriff's Dept.,Blythe Jail ,2017,1,67,0,44,0,111
Riverside Sheriff's Dept.,Indio Jail ,2017,1,210,49,68,37,364
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2017,1,860,105,424,70,1459
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2017,1,399,97,172,40,708
Riverside Sheriff's Dept.,Southwest Detention Center,2017,1,764,4,337,1,1106
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2017,1,578,11,845,165,1599
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2017,1,1353,161,422,70,2006
San Benito Sheriff's Dept.,San Benito Adult Detention ,2017,1,77,13,18,6,114
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2017,1,502,182,52,63,799
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2017,1,182,138,396,129,845
San Bernardino Sheriff's Dept.,San Bernardino High Desert Detention Center,2017,1,922,0,278,0,1200
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2017,1,1983,284,300,43,2610
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2017,1,160,0,541,0,701
San Diego Sheriff's Dept.,George Bailey Detention Facility,2017,1,820,0,826,0,1646
San Diego Sheriff's Dept.,Las Colinas Women's Detention,2017,1,0,382,0,405,787
San Diego Sheriff's Dept.,San Diego Central Detention ,2017,1,702,0,301,0,1003
San Diego Sheriff's Dept.,San Diego Facility #8,2017,1,119,0,55,0,174
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2017,1,265,0,159,0,424
San Diego Sheriff's Dept.,Vista Facility ,2017,1,490,55,252,21,818
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2017,1,2.58,1,252.16,85.42,341
San Francisco Sheriff's Dept.,San Francisco County Jail #2,2017,1,113,103,20,18,254
San Francisco Sheriff's Dept.,San Francisco County Jail #3,2017,1,0,0,0,0,0
San Francisco Sheriff's Dept.,San Francisco County Jail #4,2017,1,303,0,53,0,356
San Francisco Sheriff's Dept.,San Francisco County Jail #5,2017,1,580,0,102,0,682
San Francisco Sheriff's Dept.,San Francisco County Jail #6,2017,1,0,0,0,0,0
San Joaquin Sheriff's Dept.,John J. Zunino Facility,2017,1,708,101,167,27,1003
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,2017,1,44,9,208,26,287
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,2017,1,266,39,172,29,506
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,2017,1,0,0,50,0,50
San Mateo Sheriff's Dept.,Maguire Correctional Facility,2017,1,495,4,122,0,621
San Mateo Sheriff's Dept.,Maple Street Correctional Facility,2017,1,103,65,127,33,328
San Mateo Sheriff's Dept.,SM Transitional Facility,2017,1,0,0,23,10,33
Santa Ana Police Dept.,Santa Ana Police Facility,2017,1,0,0,0,0,0
Santa Barbara Sheriff's Dept.,Medium Security Facility,2017,1,116,29,80,11,236
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,2017,1,500,80,139,15,734
Santa Barbara Sheriff's Dept.,Santa Maria Branch Jail,2017,1,0,0,0,0,0
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,2017,1,1252,0,678,0,1930
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,2017,1,0,276,0,148,424
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,2017,1,994,0,151,0,1145
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,2017,1,0,0,0,0,0
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,2017,1,224,24,57,12,317
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,2017,1,33,0,32,0,65
Shasta Sheriff's Dept.,Shasta County Main Jail ,2017,1,210,41,75,9,335
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,2017,1,70,10,8,1,89
Solano Sheriff's Dept.,Claybank Facility ,2017,1,133,34,60,14,241
Solano Sheriff's Dept.,Solano County Justice Center ,2017,1,354,65,73,10,502
Solano Sheriff's Dept.,Stanton Correctional Facility,2017,1,198,0,77,0,275
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,2017,1,410,112,240,69,831
Sonoma Sheriff's Dept.,Sonoma-North County Facility,2017,1,110,0,143,0,253
Stanislaus Sheriff's Dept.,Public Safety Cntr Units 1 & 2,2017,1,155,13,157,22,347
