"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2008,1,449,3,82,0,534
Alameda Sheriff's Dept.,Santa Rita Jail,2008,1,2709,231,654,119,3713
Amador Sheriff's Dept.,Amador County Jail,2008,1,31,10,58,9,108
Butte Sheriff's Dept.,Butte County Jail,2008,1,263,49,136,37,485
Calaveras Sheriff's Dept.,Calaveras County Jail,2008,1,41,5,26,3,75
Colusa Sheriff's Dept.,Colusa County Jail,2008,1,24,4,20,5,53
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2008,1,0,0,86,0,86
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2008,1,413,3,225,2,643
Contra Costa Sheriff's Dept.,West County Detention Facility ,2008,1,505,130,159,41,835
Del Norte Sheriff's Dept.,Del Norte County Jail,2008,1,71,14,47,14,146
El Dorado Sheriff's Dept.,El Dorado County Jail,2008,1,105,14,83,14,216
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2008,1,54,9,42,7,112
Fresno Sheriff's Dept.,Fresno County Main Jail,2008,1,712,0,106,0,818
Fresno Sheriff's Dept.,Fresno County Satellite Jail,2008,1,0,0,176,0,176
Fresno Sheriff's Dept.,Fresno North Annex Jail,2008,1,1077,0,234,0,1311
Fresno Sheriff's Dept.,Fresno South Annex Jail,2008,1,160,261,48,112,581
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2008,1,60,11,21,3,95
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2008,1,173,30,121,23,347
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2008,1,74,0,54,0,128
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2008,1,111,31,82,21,245
Inyo Sheriff's Dept.,Inyo County Jail,2008,1,18,8,40,10,76
Kern Sheriff's Dept.,Central Receiving Facility,2008,1,102,31,24,3,160
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2008,1,94,0,12,0,106
Kern Sheriff's Dept.,Lerdo Minimum,2008,1,534,30,230,65,859
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2008,1,901,167,57,43,1168
Kings Sheriff's Dept.,Kings County Jail Facility,2008,1,148,24,138,38,348
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2008,1,120,16,78,23,237
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2008,1,30,10,38,9,87
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2008,1,0,1458,0,691,2149
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2008,1,3490,0,1295,0,4785
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2008,1,2705,0,1103,0,3808
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2008,1,1346,0,477,0,1823
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2008,1,1129,0,423,0,1552
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2008,1,526,0,857,0,1383
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2008,1,2714,18,976,0,3708
Madera Corrections Dept.,Madera Adult Correctional Fac,2008,1,281,43,38,10,372
Marin Sheriff's Dept.,Marin County Jail,2008,1,231,31,38,8,308
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2008,1,19,2,17,5,43
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2008,1,180,23,70,18,291
Merced Sheriff's Dept.,John Latorraca Correctional Center,2008,1,334,52,144,19,549
Merced Sheriff's Dept.,Merced County Jail ,2008,1,129,0,42,0,171
Modoc Sheriff's Dept.,Modoc County Jail,2008,1,10,1,6,1,18
Mono Sheriff's Dept.,Mono County Jail ,2008,1,14,1,14,1,30
