"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2012,1,375,5,63,0,443
Alameda Sheriff's Dept.,Santa Rita Jail,2012,1,1830,193,725,79,2827
Amador Sheriff's Dept.,Amador County Jail,2012,1,54,9,33,9,105
Butte Sheriff's Dept.,Butte County Jail,2012,1,394,37,133,25,589
Calaveras Sheriff's Dept.,Calaveras County Jail,2012,1,34,11,18,0,63
Colusa Sheriff's Dept.,Colusa County Jail,2012,1,30,12,20,2,64
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2012,1,0,0,60,0,60
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2012,1,472,3,164,0,639
Contra Costa Sheriff's Dept.,West County Detention Facility ,2012,1,418,133,188,32,771
Del Norte Sheriff's Dept.,Del Norte County Jail,2012,1,46,8,41,10,105
El Dorado Sheriff's Dept.,El Dorado County Jail,2012,1,109,15,111,23,258
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2012,1,39,6,52,1,98
Fresno Sheriff's Dept.,Fresno County Main Jail,2012,1,760,12,285,4,1061
Fresno Sheriff's Dept.,Fresno North Annex Jail,2012,1,592,0,251,0,843
Fresno Sheriff's Dept.,Fresno South Annex Jail,2012,1,102,170,48,126,446
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2012,1,56,8,20,2,86
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2012,1,238,40,107,10,395
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2012,1,129,12,3,0,144
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2012,1,151,26,96,15,288
Inyo Sheriff's Dept.,Inyo County Jail,2012,1,25,6,24,4,59
Kern Sheriff's Dept.,Central Receiving Facility,2012,1,105,23,18,5,151
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2012,1,268,0,100,0,368
Kern Sheriff's Dept.,Lerdo Minimum,2012,1,398,24,325,69,816
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2012,1,889,114,132,34,1169
Kings Sheriff's Dept.,Kings County Jail Facility,2012,1,230,24,157,37,448
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2012,1,144,15,101,33,293
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2012,1,37.41,14.75,29.77,5.48,87
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2012,1,0,895,0,948,1843
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2012,1,2766,0,1641,0,4407
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2012,1,2395,0,1356,0,3751
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2012,1,1193,0,503,0,1696
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2012,1,2,0,1,0,3
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2012,1,300,0,709,0,1009
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2012,1,1988,21,1069,8,3086
Madera Corrections Dept.,Madera Adult Correctional Fac,2012,1,246,34,106,14,400
Marin Sheriff's Dept.,Marin County Jail,2012,1,187,27,48,15,277
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2012,1,14,2,16,5,37
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2012,1,131,20,66,16,233
Merced Sheriff's Dept.,John Latorraca Correctional Center,2012,1,297,52,84,11,444
Merced Sheriff's Dept.,Merced County Jail ,2012,1,149,0,29,0,178
Modoc Sheriff's Dept.,Modoc County Jail,2012,1,8,3,9,2,22
Mono Sheriff's Dept.,Mono County Jail ,2012,1,6,2,12,1,21
Monterey Sheriff's Dept.,Monterey County Jail ,2012,1,460,91,86,49,686
