"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,1999,1,538,67,65,4,674
Alameda Sheriff's Dept.,Santa Rita Jail,1999,1,2274,197,844,178,3493
Amador Sheriff's Dept.,Amador County Jail,1999,1,18.1,2.78,29.1,2.58,52.56
Butte Sheriff's Dept.,Butte County Jail,1999,1,241,36,109,26,412
Calaveras Sheriff's Dept.,Calaveras County Jail,1999,1,16.6,2.5,30.5,4.8,54.4
Colusa Sheriff's Dept.,Colusa County Jail,1999,1,36,2,34,2,74
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,1999,1,0,0,184,0,184
Contra Costa Sheriff's Dept.,Martinez Detention Facility,1999,1,411,48,140,16,615
Contra Costa Sheriff's Dept.,West County Detention Facility ,1999,1,394,79,186,38,697
Del Norte Sheriff's Dept.,Del Norte County Jail,1999,1,47.78,7.11,41.69,5.09,101.67
El Dorado Sheriff's Dept.,El Dorado County Jail,1999,1,74,12,112,16,214
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,1999,1,28,3,28,5,64
Fresno Sheriff's Dept.,Fresno County Main Jail,1999,1,633,179,120,57,989
Fresno Sheriff's Dept.,Fresno County Satellite Jail,1999,1,0,0,200,0,200
Fresno Sheriff's Dept.,Fresno North Annex Jail,1999,1,389,0,24,0,413
Fresno Sheriff's Dept.,Fresno South Annex Jail,1999,1,505,0,94,0,599
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,1999,1,41,5,22,3,71
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,1999,1,263,43,16,2,324
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,1999,1,79.5,79.5,79.5,79.5,318
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,1999,1,62.5,62.5,62.5,62.5,250
Inyo Sheriff's Dept.,Inyo County Jail,1999,1,23.5,4.2,31.6,8.3,67.6
Kern Sheriff's Dept.,Kern County- Female Minimum ,1999,1,0,0,0,95,95
Kern Sheriff's Dept.,Lerdo Maximum/Medium,1999,1,105,36,8,2,151
Kern Sheriff's Dept.,Lerdo Minimum,1999,1,283,0,602,0,885
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,1999,1,600,140,166,45,951
Kings Sheriff's Dept.,Kings County Branch Jail ,1999,1,43,3,84,12,142
Kings Sheriff's Dept.,Kings County Main Jail,1999,1,70,6,69,11,156
Lake Sheriff's Dept.,Lake County Facility,1999,1,0,0,0,0,0
Lake Sheriff's Dept.,Lake County Hill Road Facility ,1999,1,80,9,78,16,183
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,1999,1,42,10,45,19,116
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,1999,1,1044,0,691,0,1735
Los Angeles Sheriff's Dept.,LA Men's Central Jail,1999,1,3717,0,2183,0,5900
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,1999,1,1217,0,2206,0,3423
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,1999,1,2266,1194,1514,1192,6166
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,1999,1,958,0,461,0,1419
